rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/policy_loss,time/time_elapsed,train/entropy_loss,time/fps
143.66666666666666,29.373882293701172,99,500,100,-473.7113323333333,0.0007,-0.004344940185546875,0.11259026825428009,0,-1.064971923828125,1165
141.28571428571428,2.6461539268493652,199,1000,200,-474.25943471428576,0.0007,0.21463054418563843,0.056728530675172806,0,-1.1237443685531616,1209
136.3,656.8104858398438,299,1500,300,-483.8443967,0.0007,0.007860839366912842,-0.20728345215320587,1,-0.44436749815940857,1232
125.0,1149.356201171875,399,2000,400,-556.05536975,0.0007,0.01432710886001587,-0.0008467048173770308,2,-0.40489116311073303,943
123.3,2.3389761447906494,499,2500,500,-568.7073518999999,0.0007,-0.0020978450775146484,0.2032812386751175,2,-0.9321657419204712,985
123.16666666666667,198.08888244628906,599,3000,600,-585.3736050416667,0.0007,-0.0003943443298339844,0.1457473486661911,3,-0.9250819087028503,900
118.3103448275862,6.553961277008057,699,3500,700,-559.3041608965518,0.0007,0.19847571849822998,-0.6435998678207397,3,-0.8706554174423218,930
124.29032258064517,60.570465087890625,799,4000,800,-545.0494102903226,0.0007,0.3108649253845215,-0.371906578540802,4,-1.0558472871780396,871
131.76470588235293,7.613809108734131,899,4500,900,-527.2848952647059,0.0007,-0.009775400161743164,-0.6840276718139648,4,-1.0522092580795288,900
137.86111111111111,6.830122470855713,999,5000,1000,-513.4962354444446,0.0007,0.03402501344680786,0.12076600641012192,5,-1.2675199508666992,849
143.55263157894737,18.452260971069336,1099,5500,1100,-507.12062731578953,0.0007,-0.0008260011672973633,0.061085157096385956,6,-0.7872062921524048,808
145.0,1.7039989233016968,1199,6000,1200,-491.19932892682937,0.0007,0.006678581237792969,-0.6013214588165283,7,-0.8361942172050476,833
146.53488372093022,198.76266479492188,1299,6500,1300,-482.44040144186056,0.0007,0.2246115803718567,-0.23382410407066345,8,-1.1359806060791016,802
146.53488372093022,0.5427907705307007,1399,7000,1400,-482.44040144186056,0.0007,0.3054954409599304,-0.006104230880737305,9,-1.0290346145629883,777
163.13333333333333,199.3976287841797,1499,7500,1500,-457.3126815111112,0.0007,0.20516365766525269,-0.10182806104421616,9,-0.9008866548538208,796
162.91489361702128,158.52731323242188,1599,8000,1600,-450.95803791489374,0.0007,0.10343438386917114,0.09663799405097961,9,-0.8036432266235352,817
169.86,9610.5400390625,1699,8500,1700,-444.69529692000003,0.0007,-3.655700206756592,0.17909815907478333,10,-0.7011489868164062,831
170.48076923076923,90.9200210571289,1799,9000,1800,-437.65248165384617,0.0007,-0.0024776458740234375,-0.06830798834562302,10,-0.792489230632782,850
172.5,6.154258728027344,1899,9500,1900,-425.8536056481481,0.0007,-0.1427001953125,-0.01667797937989235,11,-0.6271382570266724,826
173.0,17.582439422607422,1999,10000,2000,-409.6600531052631,0.0007,-0.006137967109680176,0.0981062650680542,11,-0.8913218379020691,840
176.71186440677965,5.406907558441162,2099,10500,2100,-401.1146335084745,0.0007,-0.06551468372344971,0.46275609731674194,12,-0.7984738349914551,855
177.40322580645162,415.25946044921875,2199,11000,2200,-387.44933469354834,0.0007,-0.1437833309173584,0.054767049849033356,12,-0.7421559691429138,868
178.78125,30.447946548461914,2299,11500,2300,-379.686941796875,0.0007,-0.004814743995666504,0.11262007057666779,13,-0.7699827551841736,881
179.15151515151516,30.806560516357422,2399,12000,2400,-374.0344042878788,0.0007,-0.14534235000610352,-0.02533252164721489,13,-0.6712287664413452,889
182.51470588235293,0.38214725255966187,2499,12500,2500,-361.06437976470585,0.0007,0.7188980579376221,0.1151498556137085,13,-0.6434347033500671,898
182.61428571428573,91.57720184326172,2599,13000,2600,-357.81938454285716,0.0007,-0.017255425453186035,-0.09211485087871552,14,-0.6729909181594849,906
183.18055555555554,0.9544410705566406,2699,13500,2700,-350.0889441944444,0.0007,-2.682291269302368,-0.0009081020834855735,14,-0.18317696452140808,910
185.0,65.25066375732422,2799,14000,2800,-337.43285844,0.0007,-5.509558200836182,0.028713691979646683,15,-0.68644779920578,916
185.3846153846154,5.997104167938232,2899,14500,2900,-327.6735707307693,0.0007,0.1999240517616272,0.08459007740020752,15,-0.8747667074203491,919
186.56962025316454,294.8070983886719,2999,15000,3000,-324.5584423797469,0.0007,-0.0034799575805664062,-0.10956670343875885,16,-0.312080055475235,900
189.20987654320987,47.84600067138672,3099,15500,3100,-319.3907402222222,0.0007,-5.849082946777344,0.003191297175362706,17,-0.14249375462532043,891
188.47619047619048,204.3557891845703,3199,16000,3200,-309.6787075357143,0.0007,-0.014813423156738281,0.1825229376554489,17,-0.6327350735664368,900
188.11494252873564,15.799680709838867,3299,16500,3300,-301.9599809770115,0.0007,-0.345115065574646,-0.01579402945935726,18,-0.4575048089027405,888
188.41573033707866,92.01042175292969,3399,17000,3400,-297.17790314606737,0.0007,-46.417633056640625,0.25374239683151245,19,-0.35683900117874146,874
189.92391304347825,9.260082244873047,3499,17500,3500,-290.9834151956521,0.0007,0.6666742563247681,-0.20148594677448273,20,-0.6895177960395813,860
191.2127659574468,9.690616607666016,3599,18000,3600,-287.1641929255319,0.0007,-0.923858642578125,-0.4042930006980896,21,-0.3720218539237976,847
192.19791666666666,52.697296142578125,3699,18500,3700,-281.90695869791665,0.0007,0.14771032333374023,0.17426729202270508,22,-0.8134641647338867,834
194.53608247422682,160.6324462890625,3799,19000,3800,-276.5984049072165,0.0007,0.15620100498199463,0.35232993960380554,23,-0.6016725301742554,824
194.77777777777777,264.19158935546875,3899,19500,3900,-272.6986866767677,0.0007,0.04997110366821289,-0.10136417299509048,23,-1.1788733005523682,814
196.36,23.36885643005371,3999,20000,4000,-261.18830222,0.0007,-1.4458026885986328,-0.21447435021400452,24,-1.0913429260253906,806
197.34,17.754531860351562,4099,20500,4100,-248.35390552,0.0007,-4.591104030609131,-0.06635452806949615,25,-0.41386276483535767,813
198.58,5.638923645019531,4199,21000,4200,-241.61231545,0.0007,0.8375813364982605,-0.005104625131934881,25,-0.9458643198013306,819
200.27,0.0732051357626915,4299,21500,4300,-239.00952128,0.0007,-1.0305812358856201,-0.5821577310562134,25,-0.15556007623672485,828
204.48,0.932941734790802,4399,22000,4400,-215.06309528000003,0.0007,0.9256864190101624,-0.6020234823226929,26,-0.23145584762096405,820
207.37,70.9927978515625,4499,22500,4500,-197.58986012000003,0.0007,0.5414915084838867,-0.25491949915885925,27,-0.4350709915161133,814
208.86,3.798393964767456,4599,23000,4600,-184.44333159,0.0007,0.21396178007125854,-0.3000929057598114,27,-0.4938477873802185,822
211.22,54.09099197387695,4699,23500,4700,-167.47769913000005,0.0007,0.5008450746536255,-0.19467765092849731,28,-0.363217294216156,829
211.72,35.73658752441406,4799,24000,4800,-148.60589591000002,0.0007,0.8691366910934448,-0.21614079177379608,28,-0.538165807723999,835
214.71,9.23123836517334,4899,24500,4900,-135.42803435,0.0007,0.40047454833984375,0.08977322280406952,29,-0.3805620074272156,842
216.08,10.011466979980469,4999,25000,5000,-119.62701266000002,0.0007,0.7980044484138489,-0.14946545660495758,29,-0.6324819326400757,834
217.6,20.885900497436523,5099,25500,5100,-111.86834863,0.0007,0.6476765871047974,0.35144656896591187,30,-0.993695855140686,838
216.68,38.76173782348633,5199,26000,5200,-101.53814383000001,0.0007,0.5116590261459351,-0.008773799054324627,30,-0.5773395299911499,845
